City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Jamestown,US,42.097,-79.2353,29.52,64,100,12.66,overcast clouds
79,Araouane,ML,18.9048,-3.5265,78.64,9,2,13.15,clear sky
80,Inhambane,MZ,-23.865,35.3833,81.25,59,35,13.47,scattered clouds
81,Westport,US,41.1415,-73.3579,56.75,63,100,8.99,overcast clouds
82,Butaritari,KI,3.0707,172.7902,81.72,79,43,16.35,light rain
83,Wick,GB,58.4333,-3.0833,46.45,81,100,13.8,overcast clouds
84,Merrill,US,45.1805,-89.6835,0.1,71,0,1.01,clear sky
85,Quang Ngai,VN,15.1167,108.8,71.69,92,100,0.87,overcast clouds
86,Guerrero Negro,MX,27.9769,-114.0611,60.75,65,99,4.52,overcast clouds
87,Sao Filipe,CV,14.8961,-24.4956,80.69,42,85,18.68,overcast clouds
88,Taunggyi,MM,20.7833,97.0333,50.61,45,5,1.28,clear sky
89,Saint George,US,37.1041,-113.5841,50.34,28,0,11.99,clear sky
90,Cessnock,AU,-32.8333,151.35,71.13,90,77,2.75,broken clouds
91,Kathmandu,NP,27.7167,85.3167,50.22,87,20,4.61,few clouds
92,Smolensk,RU,55.0,33.0,22.8,91,43,8.34,scattered clouds
93,Isla Mujeres,MX,21.2311,-86.731,80.65,82,36,11.77,scattered clouds
94,Baran,IN,25.1,76.5167,64.02,32,0,2.39,clear sky
95,Xingyi,CN,24.1877,102.817,47.75,50,4,2.48,clear sky
96,Bethel,US,41.3712,-73.414,55.58,53,20,8.05,few clouds
97,Kargat,RU,55.1956,80.2811,-3.57,97,6,9.08,clear sky
98,Mataura,NZ,-46.1927,168.8643,51.48,90,100,3.27,overcast clouds
99,Ola,RU,59.5833,151.2833,-9.8,84,93,7.0,overcast clouds
100,Juneau,US,58.3019,-134.4197,39.2,96,100,8.99,light rain
101,Qaanaaq,GL,77.484,-69.3632,-21.21,48,0,8.55,clear sky
102,Provideniya,RU,64.3833,-173.3,-12.15,83,2,6.17,clear sky
103,Fortuna,US,40.5982,-124.1573,47.32,76,0,10.36,clear sky
104,Kruisfontein,ZA,-34.0033,24.7314,80.17,65,39,16.53,scattered clouds
105,Hobyo,SO,5.3505,48.5268,78.21,63,100,17.74,overcast clouds
106,Cidreira,BR,-30.1811,-50.2056,78.98,69,0,15.32,clear sky
107,Sorland,NO,67.667,12.6934,28.47,62,48,10.16,scattered clouds
108,Saskylakh,RU,71.9167,114.0833,1.09,77,38,13.94,scattered clouds
109,Laguna,US,38.421,-121.4238,60.62,94,0,0.0,mist
110,Nikolskoye,RU,59.7035,30.7861,33.87,87,100,11.9,overcast clouds
111,Flin Flon,CA,54.7682,-101.865,-20.25,98,46,5.1,scattered clouds
112,Khatanga,RU,71.9667,102.5,-12.03,84,97,8.63,overcast clouds
113,Tonj,SS,7.2737,28.6822,96.8,12,6,7.96,clear sky
114,Klaksvik,FO,62.2266,-6.589,41.92,87,100,13.47,overcast clouds
115,Kaeo,NZ,-35.1,173.7833,71.33,86,99,27.56,overcast clouds
